recorded_at_utc,scan_id,index,hit,x,y,x_max,probe_target_x,probe_speed_mm_s,y_min,y_max,n_samples
2026-05-26T21:19:33.169897+00:00,c52ed344,0,True,16.570000,30.000000,25.000000,-50.000000,20.000000,30.000000,70.000000,20
2026-05-26T21:19:42.728061+00:00,c52ed344,1,True,16.660000,32.105263,25.000000,-50.000000,20.000000,30.000000,70.000000,20
2026-05-26T21:19:52.278866+00:00,c52ed344,2,True,16.670000,34.210526,25.000000,-50.000000,20.000000,30.000000,70.000000,20
2026-05-26T21:20:01.828282+00:00,c52ed344,3,True,16.660000,36.315789,25.000000,-50.000000,20.000000,30.000000,70.000000,20
2026-05-26T21:20:11.405699+00:00,c52ed344,4,True,16.640000,38.421053,25.000000,-50.000000,20.000000,30.000000,70.000000,20
2026-05-26T21:20:21.032336+00:00,c52ed344,5,True,16.620000,40.526316,25.000000,-50.000000,20.000000,30.000000,70.000000,20
2026-05-26T21:20:30.727715+00:00,c52ed344,6,True,16.560000,42.631579,25.000000,-50.000000,20.000000,30.000000,70.000000,20
2026-05-26T21:20:40.451436+00:00,c52ed344,7,True,16.490000,44.736842,25.000000,-50.000000,20.000000,30.000000,70.000000,20
2026-05-26T21:20:50.277316+00:00,c52ed344,8,True,16.390000,46.842105,25.000000,-50.000000,20.000000,30.000000,70.000000,20
2026-05-26T21:21:00.155745+00:00,c52ed344,9,True,16.340000,48.947368,25.000000,-50.000000,20.000000,30.000000,70.000000,20
2026-05-26T21:23:21.063310+00:00,b525b77f,0,True,25.000000,-20.000000,25.000000,-50.000000,25.000000,-20.000000,70.000000,20
2026-05-26T21:23:39.764286+00:00,b525b77f,1,True,25.000000,-15.263158,25.000000,-50.000000,25.000000,-20.000000,70.000000,20
2026-05-26T21:23:58.735703+00:00,b525b77f,2,True,25.000000,-10.526316,25.000000,-50.000000,25.000000,-20.000000,70.000000,20
2026-05-26T21:24:20.253187+00:00,b525b77f,3,True,25.000000,-5.789474,25.000000,-50.000000,25.000000,-20.000000,70.000000,20
2026-05-26T21:24:59.372793+00:00,91db7aa6,0,True,25.000000,-20.000000,25.000000,-50.000000,25.000000,-20.000000,60.000000,20
2026-05-26T21:25:20.837759+00:00,91db7aa6,1,True,25.000000,-15.789474,25.000000,-50.000000,25.000000,-20.000000,60.000000,20
2026-05-26T21:25:36.078409+00:00,91db7aa6,2,True,25.000000,-11.578947,25.000000,-50.000000,25.000000,-20.000000,60.000000,20
2026-05-26T21:54:44.392403+00:00,8549b0b5,0,True,11.800000,30.000000,25.000000,-50.000000,20.000000,30.000000,70.000000,20
2026-05-26T21:54:48.614297+00:00,8549b0b5,1,True,23.710000,32.105263,25.000000,-50.000000,20.000000,30.000000,70.000000,20
2026-05-26T21:54:50.492834+00:00,8549b0b5,2,True,24.250000,34.210526,25.000000,-50.000000,20.000000,30.000000,70.000000,20
2026-05-26T21:54:52.067201+00:00,8549b0b5,3,True,24.310000,36.315789,25.000000,-50.000000,20.000000,30.000000,70.000000,20
2026-05-26T21:54:53.441997+00:00,8549b0b5,4,True,24.600000,38.421053,25.000000,-50.000000,20.000000,30.000000,70.000000,20
2026-05-26T21:54:54.726123+00:00,8549b0b5,5,True,24.690000,40.526316,25.000000,-50.000000,20.000000,30.000000,70.000000,20
2026-05-26T21:54:56.018761+00:00,8549b0b5,6,True,24.650000,42.631579,25.000000,-50.000000,20.000000,30.000000,70.000000,20
2026-05-26T21:54:57.294623+00:00,8549b0b5,7,True,24.650000,44.736842,25.000000,-50.000000,20.000000,30.000000,70.000000,20
2026-05-26T21:54:58.581281+00:00,8549b0b5,8,True,24.610000,46.842105,25.000000,-50.000000,20.000000,30.000000,70.000000,20
2026-05-26T21:54:59.862020+00:00,8549b0b5,9,True,24.640000,48.947368,25.000000,-50.000000,20.000000,30.000000,70.000000,20
2026-05-27T07:02:34.117818+00:00,9868f67a,0,False,,-10.000000,10.000000,0.000000,20.000000,-10.000000,10.000000,20
2026-05-27T07:02:34.754582+00:00,9868f67a,1,False,,-8.947368,10.000000,0.000000,20.000000,-10.000000,10.000000,20
2026-05-27T07:02:35.390880+00:00,9868f67a,2,False,,-7.894737,10.000000,0.000000,20.000000,-10.000000,10.000000,20
2026-05-27T07:02:36.026938+00:00,9868f67a,3,False,,-6.842105,10.000000,0.000000,20.000000,-10.000000,10.000000,20
2026-05-27T07:02:36.663578+00:00,9868f67a,4,False,,-5.789474,10.000000,0.000000,20.000000,-10.000000,10.000000,20
2026-05-27T07:02:37.302130+00:00,9868f67a,5,False,,-4.736842,10.000000,0.000000,20.000000,-10.000000,10.000000,20
2026-05-27T07:02:37.938813+00:00,9868f67a,6,False,,-3.684211,10.000000,0.000000,20.000000,-10.000000,10.000000,20
2026-05-27T07:02:38.576229+00:00,9868f67a,7,False,,-2.631579,10.000000,0.000000,20.000000,-10.000000,10.000000,20
2026-05-27T07:02:39.187420+00:00,9868f67a,8,False,,-1.578947,10.000000,0.000000,20.000000,-10.000000,10.000000,20
